"","SpCode","SpID","Elev","SpSize","StiL","BlL","FrL","StiLtoBlL","LWbase","LW2nd","LW3rd","BasalPiL","BasiscPiL","AcroPiL","NeBasiPiL","BasiPiLtoPL","AcroPitoBasi","PP1toPP2","PP2toPP3","PP3toPP4","PP1to2toAll","NoFreeP","ProFreeP","WtoBl1","WtoBl2","WtoBl3","NBasitoBasi","BasPLtoLWbase","StiScL","StiScW","StiScWtoL1"
"82",4,9,3200,42,18.8,16.5,35.3,1.14,9.5,7.2,6.7,6.5,3.1,1.4,2.3,0.48,0.45,4.1,2.8,1.6,0.48,16,0.46,0.58,0.44,0.41,0.74,0.68,3,0.5,0.17
"83",4,10,4160,32.5,12,8.7,20.7,1.38,4,4.1,3.7,2.6,1.9,0.7,1,0.73,0.37,2.1,1.4,0.9,0.48,5,0.38,0.46,0.47,0.43,0.53,0.65,2.25,1,0.44
"84",4,11,3380,36.5,10.5,10.3,20.8,1.02,3.6,4.4,4.4,2.6,1.5,0.7,1.2,0.58,0.47,2.3,1.55,1,0.47,5,0.56,0.35,0.43,0.43,0.8,0.72,4.25,1,0.24
"85",4,12,2180,47,3.9,5.3,9.2,0.74,2.6,3,2.7,1.5,1,0.5,0.6,0.67,0.5,1,0.7,0.5,0.45,6,0.55,0.49,0.57,0.51,0.6,0.58,5,1,0.2
"86",4,13,2900,38,7.8,6.6,14.4,1.18,3.1,3.2,2.8,1.6,1,0.5,0.8,0.63,0.5,1.45,0.9,0.65,0.48,3,0.25,0.47,0.48,0.42,0.8,0.52,4.25,1,0.24
"87",4,14,2900,49,6.5,8.4,14.9,0.77,3,3.9,3.7,1.8,1.1,0.6,0.7,0.61,0.55,1.6,1.1,0.8,0.46,6,0.5,0.36,0.46,0.44,0.64,0.6,5.25,1,0.19
"88",4,15,3000,35,6.5,3.8,10.3,1.71,2.7,2.3,1.7,1,0.7,0.3,0.6,0.7,0.43,1,0.65,0.5,0.47,2,0.22,0.71,0.61,0.45,0.86,0.37,3.5,1,0.29
"89",4,16,3000,41,11.5,7.8,19.3,1.47,3.5,3.9,3.2,2.3,1.2,0.5,0.7,0.52,0.42,1.8,1.2,0.9,0.46,5,0.42,0.45,0.5,0.41,0.58,0.66,4.25,1.25,0.29
"90",4,17,2950,46,8,5.5,13.5,1.45,3.7,3.1,2.6,1.8,0.9,0.4,0.6,0.5,0.44,1,0.7,0.4,0.48,3,0.25,0.67,0.56,0.47,0.67,0.49,3.25,0.5,0.15
"91",4,18,2950,47,3.7,5.3,9,0.7,3.3,3,2.2,1.6,0.9,0.4,0.5,0.56,0.44,0.9,0.7,0.6,0.41,3,0.21,0.62,0.57,0.42,0.56,0.48,3.25,0.75,0.23
